id,fact,karatepower,created_at
34,"When a bug sees Chuck Norris, it flees screaming in terror, and then immediately self-destructs to avoid being roundhouse-kicked.",895,2018-11-13 4:40:55
35,Project managers never ask Chuck Norris for estimations... ever.,654,2017-11-04 4:08:11
36,Chuck Norris doesn't have performance bottlenecks. He just makes the universe wait its turn.,345,2018-11-18 0:01:26
37,Chuck Norris hosting is 101% uptime guaranteed.,894,2018-04-12 19:30:53
38,Chuck Norris hosting is 101% uptime guaranteed.,12,2017-08-17 19:07:36
39,Chuck Norris solved the Travelling Salesman problem in O(1) time.,397,2018-05-05 17:20:04
40,Chuck Norris can instantiate an abstract class.,39,2017-08-06 18:32:01
41,Chuck Norris burst the dot com bubble.,406,2017-04-05 15:56:05
42,Chuck Norris can compile syntax errors.,391,2018-07-15 6:19:30
43,The class object inherits from Chuck Norris.,601,2017-08-31 18:46:06
44,It works on my machine always holds true for Chuck Norris.,598,2017-07-02 7:58:28
45,"When Chuck Norris gives a method an argument, the method loses.",223,2017-05-15 15:56:42
46,"Chuck Norris doesn't delete files, he blows them away.",15,2017-06-15 21:08:56
47,Chuck Norris's beard can type 140 wpm.,382,2018-01-25 3:30:02
48,Chuck Norris can unit test an entire application with a single assert.,717,2017-12-12 0:06:10
49,Chuck Norris's keyboard doesn't have a Ctrl key because nothing controls Chuck Norris.,871,2017-06-03 22:27:04
50,Chuck Norris went out of an infinite loop.,911,2018-04-26 5:18:42
51,Chuck Norris can unit test an entire application with a single assert.,891,2018-06-29 17:03:20
52,"Chuck Norris' protocol design method has no status, requests or responses, only commands.",881,2018-03-24 13:37:22
53,There is nothing regular about Chuck Norris' expressions.,173,2017-05-08 23:52:38
54,The only pattern Chuck Norris knows is God Object.,323,2018-04-25 4:40:38
55,Whiteboards are white because Chuck Norris scared them that way.,430,2018-01-23 11:10:29
56,Chuck Norris doesn't have disk latency because the hard drive knows to hurry the hell up.,447,2017-12-31 14:22:48
57,Chuck Norris doesn't need to know about class factory pattern. He can instantiate interfaces.,414,2018-11-21 23:15:21
58,Chuck Norris finished World of Warcraft.,622,2019-01-13 7:11:48
59,Chuck Norris rewrote the Google search engine from scratch.,734,2017-10-01 2:13:40
60,"Chuck Norris never gets a syntax error. Instead, the language gets a DoesNotConformToChuck error.",774,2017-05-26 18:08:16
61,Chuck Norris writes code that optimizes itself.,528,2017-08-18 9:50:48
62,Chuck Norris can write infinite recursion functions... and have them return.,306,2017-10-02 22:16:00
63,"When a bug sees Chuck Norris, it flees screaming in terror, and then immediately self-destructs to avoid being roundhouse-kicked.",257,2018-12-30 5:52:30
64,When Chuck Norris' code fails to compile the compiler apologises.,514,2017-04-25 8:02:14
65,"Chuck Norris doesn't need a debugger, he just stares down the bug until the code confesses.",546,2017-10-01 6:25:46
66,Chuck Norris' beard is immutable.,812,2018-10-29 22:27:42
67,"Chuck Norris doesn't need garbage collection because he doesn't call .Dispose(), he calls .DropKick().",776,2018-02-01 7:49:00
68,Chuck Norris does not use exceptions when programming. He has not been able to identify any of his code that is not exceptional.,3,2018-09-15 2:37:46
69,"There is no Esc key on Chuck Norris' keyboard, because no one escapes Chuck Norris.",423,2018-01-17 2:50:13
70,Chuck Norris can instantiate an abstract class.,409,2018-06-17 1:46:18
71,Chuck Norris doesn't have performance bottlenecks. He just makes the universe wait its turn.,450,2018-12-05 12:27:31
72,Chuck Norris can access private methods.,544,2017-05-19 18:29:10
73,Chuck Norris doesn't need to know about class factory pattern. He can instantiate interfaces.,816,2017-09-01 4:03:55
74,Chuck Norris can recite Ï€. Backwards.,870,2018-11-21 15:37:14
75,Chuck Norris doesn't need an OS.,252,2018-06-27 22:00:57
76,Chuck Norris can binary search unsorted data.,789,2018-03-16 17:09:03
77,Chuck Norris does not use revision control software. None of his code has ever needed revision.,795,2018-09-18 0:11:21
78,Chuck Norris does not use exceptions when programming. He has not been able to identify any of his code that is not exceptional.,222,2018-08-11 8:34:09
79,The only pattern Chuck Norris knows is God Object.,849,2018-07-08 1:03:53
80,Chuck Norris' addition operator doesn't commute; it teleports to where he needs it to be.,78,2017-05-07 14:20:13
81,Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.,443,2017-09-23 9:33:09
82,Chuck Norris breaks RSA 128-bit encrypted codes in milliseconds.,172,2017-09-13 15:03:26
83,"Chuck Norris doesn't need a java compiler, he goes straight to .war",853,2018-07-15 14:59:31
84,Chuck Norris can recite Ï€. Backwards.,748,2017-09-03 17:59:25
85,Chuck Norris doesn't program with a keyboard. He stares the computer down until it does what he wants.,522,2017-07-16 16:04:19
86,Chuck Norris went out of an infinite loop.,849,2017-08-02 21:14:46
87,The class object inherits from Chuck Norris.,383,2018-12-14 11:48:53
88,Chuck Norris writes code that optimizes itself.,665,2018-05-02 6:18:53
89,"For Chuck Norris, NP-Hard = O(1).",478,2017-10-05 18:15:47
90,"Chuck Norris doesn't get compiler errors, the language changes itself to accommodate Chuck Norris.",375,2018-05-02 11:27:44
91,"Chuck Norris doesn't need the cloud to scale his applications, he uses his laptop.",377,2019-01-31 13:08:47
92,There is nothing regular about Chuck Norris' expressions.,519,2017-06-29 12:09:20
93,Chuck Norris' beard is immutable.,473,2018-08-16 0:45:29
94,"Chuck Norris doesn't get compiler errors, the language changes itself to accommodate Chuck Norris.",486,2018-11-17 6:28:21
95,Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.,323,2018-04-01 20:52:41
96,Chuck Norris can instantiate an abstract class.,311,2018-08-08 20:56:28
97,Chuck Norris does not use revision control software. None of his code has ever needed revision.,516,2018-11-14 7:16:05
98,"Chuck Norris' keyboard doesn't have a F1 key, the computer asks him for help.",176,2019-02-06 22:39:29
99,Chuck Norris finished World of Warcraft.,699,2018-02-09 8:18:26
100,"Chuck Norris doesn't need a debugger, he just stares down the bug until the code confesses.",216,2017-07-27 3:36:55
